"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 29 21:02:16 UTC 2026","Thu Jan 29 21:02:16 UTC 2026","8","","io.cryptoarena.registry.ServiceRegistryTest","","io.cryptoarena.registry.ServiceRegistryTest","shouldReturnEmptyForNonExistentService","shouldReturnEmptyForNonExistentService()",""
"passed","Thu Jan 29 21:02:15 UTC 2026","Thu Jan 29 21:02:16 UTC 2026","429","","io.cryptoarena.registry.ServiceRegistryTest","","io.cryptoarena.registry.ServiceRegistryTest","shouldCheckIfServiceIsRegistered","shouldCheckIfServiceIsRegistered()",""
"passed","Thu Jan 29 21:02:16 UTC 2026","Thu Jan 29 21:02:16 UTC 2026","46","","io.cryptoarena.streamer.MarketDataStreamerTest","","io.cryptoarena.streamer.MarketDataStreamerTest","shouldCreateMarketData","shouldCreateMarketData()",""
"passed","Thu Jan 29 21:02:15 UTC 2026","Thu Jan 29 21:02:16 UTC 2026","500","","io.cryptoarena.streamer.MarketDataStreamerTest","","io.cryptoarena.streamer.MarketDataStreamerTest","shouldStartStreaming","shouldStartStreaming()",""
"passed","Thu Jan 29 21:02:16 UTC 2026","Thu Jan 29 21:02:16 UTC 2026","10","","io.cryptoarena.registry.ServiceRegistryTest","","io.cryptoarena.registry.ServiceRegistryTest","shouldUnregisterService","shouldUnregisterService()",""
"passed","Thu Jan 29 21:02:16 UTC 2026","Thu Jan 29 21:02:16 UTC 2026","14","","io.cryptoarena.registry.ServiceRegistryTest","","io.cryptoarena.registry.ServiceRegistryTest","shouldRegisterAndRetrieveService","shouldRegisterAndRetrieveService()",""
"passed","Thu Jan 29 21:02:16 UTC 2026","Thu Jan 29 21:02:16 UTC 2026","6","","io.cryptoarena.common.CryptoArenaAllureTest","","io.cryptoarena.common.CryptoArenaAllureTest","shouldHaveCorrectVersion","Should have correct version","Verifies that the crypto arena module reports the correct version"
"passed","Thu Jan 29 21:02:16 UTC 2026","Thu Jan 29 21:02:16 UTC 2026","2","","io.cryptoarena.streamer.MarketDataStreamerTest","","io.cryptoarena.streamer.MarketDataStreamerTest","shouldCreateStreamerInstance","shouldCreateStreamerInstance()",""
"passed","Thu Jan 29 21:02:16 UTC 2026","Thu Jan 29 21:02:16 UTC 2026","4","","io.cryptoarena.common.CryptoArenaAllureTest","","io.cryptoarena.common.CryptoArenaAllureTest","versionShouldFollowSemanticVersioning","Version should follow semantic versioning","Verifies that the version follows semantic versioning pattern"
"passed","Thu Jan 29 21:02:15 UTC 2026","Thu Jan 29 21:02:16 UTC 2026","399","","io.cryptoarena.common.AllureBDDTest","","io.cryptoarena.common.AllureBDDTest","placingOrderShouldBeAccepted","Scenario: Given a user with funds, When they place an order, Then the order is accepted",""
"passed","Thu Jan 29 21:02:16 UTC 2026","Thu Jan 29 21:02:16 UTC 2026","14","","io.cryptoarena.common.CryptoArenaCommonTest","","io.cryptoarena.common.CryptoArenaCommonTest","shouldHaveCorrectVersion","shouldHaveCorrectVersion()",""
"passed","Thu Jan 29 21:02:16 UTC 2026","Thu Jan 29 21:02:16 UTC 2026","37","","io.cryptoarena.common.CryptoArenaAllureTest","","io.cryptoarena.common.CryptoArenaAllureTest","shouldHaveValidModuleName","Should have valid module name","Verifies that the module name is properly defined"
"passed","Thu Jan 29 21:02:16 UTC 2026","Thu Jan 29 21:02:16 UTC 2026","7","","io.cryptoarena.registry.ServiceRegistryTest","","io.cryptoarena.registry.ServiceRegistryTest","shouldClearAllServices","shouldClearAllServices()",""
"passed","Thu Jan 29 21:02:16 UTC 2026","Thu Jan 29 21:02:16 UTC 2026","2","","io.cryptoarena.streamer.MarketDataStreamerTest","","io.cryptoarena.streamer.MarketDataStreamerTest","shouldStopStreaming","shouldStopStreaming()",""
"passed","Thu Jan 29 21:02:16 UTC 2026","Thu Jan 29 21:02:16 UTC 2026","10","","io.cryptoarena.common.CryptoArenaAllureTest","","io.cryptoarena.common.CryptoArenaAllureTest","versionShouldNotBeEmpty","Version should not be empty","Verifies that the version is not empty"
"passed","Thu Jan 29 21:02:16 UTC 2026","Thu Jan 29 21:02:16 UTC 2026","20","","io.cryptoarena.registry.ServiceRegistryTest","","io.cryptoarena.registry.ServiceRegistryTest","shouldReturnCorrectSize","shouldReturnCorrectSize()",""
"passed","Thu Jan 29 21:02:16 UTC 2026","Thu Jan 29 21:02:16 UTC 2026","14","","io.cryptoarena.engine.TradingEngineTest","","io.cryptoarena.engine.TradingEngineTest","shouldStopEngine","shouldStopEngine()",""
"passed","Thu Jan 29 21:02:15 UTC 2026","Thu Jan 29 21:02:16 UTC 2026","394","","io.cryptoarena.engine.TradingEngineTest","","io.cryptoarena.engine.TradingEngineTest","shouldCreateEngineInstance","shouldCreateEngineInstance()",""
"passed","Thu Jan 29 21:02:16 UTC 2026","Thu Jan 29 21:02:16 UTC 2026","35","","io.cryptoarena.engine.TradingEngineTest","","io.cryptoarena.engine.TradingEngineTest","shouldStartEngine","shouldStartEngine()",""
"passed","Thu Jan 29 21:02:16 UTC 2026","Thu Jan 29 21:02:16 UTC 2026","6","","io.cryptoarena.common.CryptoArenaCommonTest","","io.cryptoarena.common.CryptoArenaCommonTest","shouldHaveModuleName","shouldHaveModuleName()",""
